Re=200.0, We=1.0, Ma=0.02, t=8.0005, E_k=0.10687107842, E_e=869.101947761
Re=25, We=0.5, Ma=0.0025, t=10.0, E_k=0.0986943340308, E_e=86.8355404927
Re=50, We=0.5, Ma=0.005, t=10.0, E_k=0.0985707376362, E_e=88.3191147367
Re=100, We=0.5, Ma=0.01, t=10.0, E_k=0.0981387014499, E_e=91.2253083165
Re=200, We=0.5, Ma=0.02, t=10.0, E_k=0.0966752978551, E_e=96.4605307592
Re=25, We=0.5, Ma=0.0025, t=5.0005, E_k=0.0984201834228, E_e=75.4322558381
Re=50, We=1e-05, Ma=3e-16, t=5.0005, E_k=0.0985922225482, E_e=5.06432389218e-09
Re=50, We=0.1, Ma=0.05, t=5.0005, E_k=0.103181505454, E_e=0.3778733769
Re=50, We=1e-05, Ma=3e-16, t=0.05, E_k=2.17001376135e-08, E_e=-6.03265310001e-06
Re=50, We=0.1, Ma=0.05, t=0.05, E_k=2.22940767884e-08, E_e=-6.03275800342e-06
Re=50, We=1e-05, Ma=3e-16, t=0.05, E_k=3.16415434407e-08, E_e=-6.03265306047e-06
Re=50, We=0.1, Ma=0.05, t=0.05, E_k=2.23375308773e-08, E_e=-6.03275800341e-06
Re=50, We=1e-05, Ma=3e-16, t=5.0005, E_k=0.101481090295, E_e=5.5553484337e-09
Re=50, We=1e-05, Ma=3e-16, t=0.05, E_k=2.5227777198e-08, E_e=-1.93504738046e-08
Re=50, We=0.1, Ma=0.05, t=0.05, E_k=2.04081123887e-08, E_e=-1.93123529435e-08
Re=50, We=1e-05, Ma=3e-16, t=0.05, E_k=2.52274875877e-08, E_e=-1.93504735279e-08
Re=50, We=0.1, Ma=0.05, t=0.05, E_k=2.04078405818e-08, E_e=-1.9312342038e-08
Re=50, We=1e-05, Ma=3e-16, t=0.1, E_k=1.32403972133e-07, E_e=-9.52939103493e-09
Re=50, We=1e-05, Ma=3e-16, t=0.1, E_k=1.32403958603e-07, E_e=-9.52939105601e-09
Re=50, We=0.1, Ma=0.05, t=0.1, E_k=1.08989576864e-07, E_e=6.76930846962e-08
Re=50, We=1e-05, Ma=3e-16, t=0.01, E_k=4.67292832679e-09, E_e=-9.52939105601e-09
Re=50, We=0.1, Ma=0.05, t=0.01, E_k=3.22153623428e-09, E_e=-9.48983040662e-09
Re=50, We=1e-05, Ma=3e-16, t=0.01, E_k=4.67292832679e-09, E_e=-9.52939105601e-09
Re=50, We=0.1, Ma=0.05, t=0.01, E_k=3.22153623428e-09, E_e=-9.48983040662e-09
Re=50, We=0.1, Ma=0.005, t=4.00003277584, E_k=0.0980106326124, E_e=0.476256165317
Re=50, We=1e-05, Ma=3e-16, t=5.0005, E_k=0.0990332490457, E_e=4.2749186581e-09
Re=50, We=0.1, Ma=0.005, t=4.00003277584, E_k=0.097501545119, E_e=0.495902326303
Re=50, We=0.1, Ma=0.05, t=5.0005, E_k=0.103769039347, E_e=0.39315424619
Re=50, We=0.1, Ma=0.005, t=4.00003277584, E_k=0.0974455414672, E_e=0.506315035973
Re=50, We=0.1, Ma=0.001, t=4.00003277584, E_k=0.0980106256162, E_e=0.475949984486
Re=50, We=1e-05, Ma=3e-16, t=5.0005, E_k=0.0990332490457, E_e=4.2749186581e-09
Re=50, We=0.1, Ma=0.001, t=4.00003277584, E_k=0.0975023548575, E_e=0.4952511387
Re=50, We=0.1, Ma=0.05, t=5.0005, E_k=0.103769039347, E_e=0.39315424619
Re=50, We=0.1, Ma=0.001, t=4.00003277584, E_k=0.0974461870449, E_e=0.505851022993
Re=50, We=0.1, Ma=0.01, t=4.00003277584, E_k=0.0980098765412, E_e=0.477053195767
Re=50, We=0.1, Ma=0.01, t=4.00003277584, E_k=0.0975012825836, E_e=0.496326582545
Re=50, We=0.1, Ma=0.01, t=4.00003277584, E_k=0.0974454786533, E_e=0.506739914472
Re=50, We=1e-05, Ma=3e-16, t=0.00376476629745, E_k=2.42152688227e-09, E_e=1.82977603845e-09
Re=50, We=1e-05, Ma=3e-16, t=0.0522634155932, E_k=2.78032131102e-08, E_e=-9.5306206914e-09
Re=50, We=0.1, Ma=0.005, t=4.00003277584, E_k=0.0980106326124, E_e=0.476256165317
Re=50, We=0.1, Ma=0.005, t=4.00003277584, E_k=0.097501545119, E_e=0.495902326303
Re=50, We=0.5, Ma=0.005, t=10.0000819396, E_k=0.102956101139, E_e=8.4937603132
Re=50, We=0.5, Ma=0.005, t=0.00209053662373, E_k=1.53955650377e-09, E_e=-3.91138446576e-08
Re=50, We=0.5, Ma=0.005, t=0.00209053662373, E_k=1.53955650377e-09, E_e=-3.91138446576e-08
Re=50, We=0.5, Ma=0.005, t=0.00209053662373, E_k=1.53955650377e-09, E_e=-3.91138446576e-08
Re=50, We=0.5, Ma=0.005, t=0.00209053662373, E_k=1.53955650377e-09, E_e=-3.91138446576e-08
Re=50, We=0.5, Ma=0.005, t=0.00209053662373, E_k=1.53955650377e-09, E_e=-3.91138446576e-08
Re=50, We=0.5, Ma=0.005, t=0.00209053662373, E_k=1.53955650377e-09, E_e=-3.91138446576e-08
Re=50, We=0.5, Ma=0.005, t=0.00209053662373, E_k=1.53955650377e-09, E_e=-3.91138446576e-08
Re=50, We=0.5, Ma=0.005, t=0.00209053662373, E_k=1.53955650377e-09, E_e=-3.91138446576e-08
Re=50, We=0.5, Ma=0.005, t=0.00522634155932, E_k=2.38482955831e-09, E_e=-4.9424181762e-08
Re=50, We=0.5, Ma=0.005, t=10.0000819396, E_k=0.102956101139, E_e=8.4937603132
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396, E_k=0.102956101139, E_e=8.4937603132
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396, E_k=0.10296785098, E_e=8.49317098379
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396, E_k=0.103104123019, E_e=9.63221422755
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396, E_k=0.102952123674, E_e=8.49398711922
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396, E_k=0.102994448672, E_e=9.63570329063
Re=50, We=0.5, Ma=0.005lambda=0.2, t=10.0000819396, E_k=0.103199539341, E_e=12.7162743196
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396, E_k=0.0985757864964, E_e=8.08227000333
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396, E_k=0.0996589785198, E_e=9.70439787809
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396, E_k=0.0917144050482, E_e=13.1866512404
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396, E_k=0.0932302714503, E_e=18.2960332592
Re=50, We=0.5, Ma=0.005lambda=0.2, t=10.0000819396, E_k=0.105951801223, E_e=36.6488252168
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396, E_k=0.10196061701, E_e=14.4566537631
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396, E_k=0.102089399389, E_e=19.2872023651
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396, E_k=0.10196061701, E_e=14.4566537631
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396, E_k=0.102087030424, E_e=19.2876104398
Re=50, We=0.5, Ma=0.005lambda=0.2, t=10.0000819396, E_k=0.103783518078, E_e=36.4793845714
Re=50, We=0.5, Ma=0.005lambda=0, t=0.104526831186, E_k=1.2213058664e-07, E_e=5.40312786143e-07
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396, E_k=0.0980576956387, E_e=178.926800546
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0008380128, E_k=0.105597437219, E_e=152.703336284
Re=50, We=0.5, Ma=0.005lambda=0.05, t=10.0008380128, E_k=0.105565312311, E_e=166.451010235
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0008380128, E_k=0.10495402318, E_e=210.091608023
Re=50, We=0.001, Ma=0.005, t=0.0808454185995, E_k=7.15164506926e-08, E_e=-1.57416219926e-08
Re=50, We=0.001, Ma=0.005, t=8.0004626246, E_k=0.108260279666, E_e=0.00013622586833
Re=50, We=0.1, Ma=0.005, t=8.0004626246, E_k=0.102929816386, E_e=0.418887651751
Re=50, We=0.5, Ma=0.005, t=8.0004626246, E_k=0.103521782747, E_e=1.93174402383
Re=50, We=0.75, Ma=0.005lambda=0, t=0.161690837199, E_k=7.51909503865e-07, E_e=5.28117380022e-06
Re=50, We=0.75, Ma=0.005, t=8.0004626246, E_k=0.105030641108, E_e=2.57033181989
Re=50, We=0.75, Ma=0.005lambda=0, t=10.0005782808, E_k=0.098992269526, E_e=406.396361935
Re=50, We=1.0, Ma=0.005, t=8.0004626246, E_k=0.105930132531, E_e=3.09065248726
Re=50, We=0.75, Ma=0.005lambda=0.05, t=10.0005782808, E_k=0.100396595261, E_e=433.586829938
Re=50, We=0.001, Ma=0.1, t=8.0004626246, E_k=0.108400259769, E_e=0.000135993944754
Re=50, We=0.1, Ma=0.1, t=8.0004626246, E_k=0.102951315162, E_e=0.418750081601
Re=50, We=0.75, Ma=0.005lambda=0.1, t=10.0005782808, E_k=0.0994157146849, E_e=529.541858955
Re=50, We=0.5, Ma=0.1, t=8.0004626246, E_k=0.103537752792, E_e=1.93037929403
Re=50, We=0.75, Ma=0.1, t=8.0004626246, E_k=0.105042608884, E_e=2.56976993413
Re=50, We=0.75, Ma=0.005lambda=0, t=10.0005782808, E_k=0.098992269526, E_e=406.396361935
Re=50, We=0.75, Ma=0.005lambda=0, t=10.0005782808, E_k=0.098992269526, E_e=406.396361935
Re=50, We=0.001, Ma=0.005, t=8.0004626246, E_k=0.108316534994, E_e=0.000136319460671
Re=50, We=0.1, Ma=0.005, t=8.0004626246, E_k=0.102361295449, E_e=0.604714774011
Re=50, We=0.75, Ma=0.005lambda=0.05, t=10.0005782808, E_k=0.100282027933, E_e=433.011584459
Re=50, We=0.5, Ma=0.005, t=8.0004626246, E_k=0.08932591343, E_e=4.07604363045
Re=50, We=0.75, Ma=0.005lambda=0.1, t=10.0005782808, E_k=0.100847042112, E_e=530.66043184
Re=50, We=1.0, Ma=0.005, t=8.0004626246, E_k=0.0935603239146, E_e=9.61806822721
Re=50, We=2.0, Ma=0.005, t=8.0004626246, E_k=0.0997143344728, E_e=25.2227663577
Re=50, We=0.001, Ma=0.1, t=8.0004626246, E_k=0.108400259769, E_e=0.000136086966009
Re=50, We=0.1, Ma=0.1, t=8.0004626246, E_k=0.102333451412, E_e=0.604615460305
Re=50, We=0.5, Ma=0.1, t=8.0004626246, E_k=0.0893468129186, E_e=4.08407144839
Re=50, We=1.0, Ma=0.1, t=8.0004626246, E_k=0.0936266044264, E_e=9.62959690021
Re=10, We=0.75, Ma=0.01lambda=0, t=0.0023447299461, E_k=2.67541060602e-09, E_e=3.20356089806e-10
Re=10, We=0.75, Ma=0.01lambda=0.05, t=0.0023447299461, E_k=2.68168576231e-09, E_e=3.20336891368e-10
Re=10, We=0.75, Ma=0.01lambda=0.1, t=0.0023447299461, E_k=3.56566183712e-09, E_e=3.20288033102e-10
Re=50, We=0.001, Ma=0.005, t=0.00762840428133, E_k=3.31736790339e-09, E_e=-4.3186558599e-06
Re=50, We=0.1, Ma=0.005, t=0.00762840428133, E_k=2.48510733431e-09, E_e=-4.99944157498e-06
Re=50, We=0.5, Ma=0.005, t=0.00762840428133, E_k=2.45823477595e-09, E_e=-1.36147550773e-08
Re=50, We=1.0, Ma=0.005, t=0.00762840428133, E_k=2.45482601353e-09, E_e=-1.3531167272e-08
Re=50, We=2.0, Ma=0.005, t=0.00762840428133, E_k=2.45311733045e-09, E_e=-1.34898129163e-08
